kernel-module-stusb160x-6.13.1 kernel-module-stusb160x-6.13.1 linux-stable 6.13.1 13
kernel-module-sha512-generic-6.13.1 kernel-module-sha512-generic-6.13.1 linux-stable 6.13.1 13
kernel-module-rpmsg-char-6.13.1 kernel-module-rpmsg-char-6.13.1 linux-stable 6.13.1 13
kernel-module-leds-pca9532-6.13.1 kernel-module-leds-pca9532-6.13.1 linux-stable 6.13.1 13
kernel-module-fsi-occ-6.13.1 kernel-module-fsi-occ-6.13.1 linux-stable 6.13.1 13
kernel-module-c-can-platform-6.13.1 kernel-module-c-can-platform-6.13.1 linux-stable 6.13.1 13
kernel-module-ah6-6.13.1 kernel-module-ah6-6.13.1 linux-stable 6.13.1 13
kernel-module-usb-f-eem-6.13.1 kernel-module-usb-f-eem-6.13.1 linux-stable 6.13.1 12
kernel-module-usb-f-acm-6.13.1 kernel-module-usb-f-acm-6.13.1 linux-stable 6.13.1 12
kernel-module-ti-tfp410-6.13.1 kernel-module-ti-tfp410-6.13.1 linux-stable 6.13.1 12
kernel-module-spi-gpio-6.13.1 kernel-module-spi-gpio-6.13.1 linux-stable 6.13.1 12
kernel-module-sha3-generic-6.13.1 kernel-module-sha3-generic-6.13.1 linux-stable 6.13.1 12
kernel-module-phy-cpcap-usb-6.13.1 kernel-module-phy-cpcap-usb-6.13.1 linux-stable 6.13.1 12
kernel-module-mdio-mscc-miim-6.13.1 kernel-module-mdio-mscc-miim-6.13.1 linux-stable 6.13.1 12
kernel-module-g-ether-6.13.1 kernel-module-g-ether-6.13.1 linux-stable 6.13.1 12
kernel-module-display-connector-6.13.1 kernel-module-display-connector-6.13.1 linux-stable 6.13.1 12
kernel-module-cm36651-6.13.1 kernel-module-cm36651-6.13.1 linux-stable 6.13.1 12
kernel-module-brcmutil-6.13.1 kernel-module-brcmutil-6.13.1 linux-stable 6.13.1 12
kernel-module-b53-spi-6.13.1 kernel-module-b53-spi-6.13.1 linux-stable 6.13.1 12
kernel-module-b53-mdio-6.13.1 kernel-module-b53-mdio-6.13.1 linux-stable 6.13.1 12
kernel-module-adxl34x-6.13.1 kernel-module-adxl34x-6.13.1 linux-stable 6.13.1 12
kernel-module-xfrm-algo-6.13.1 kernel-module-xfrm-algo-6.13.1 linux-stable 6.13.1 11
kernel-module-xfrm6-tunnel-6.13.1 kernel-module-xfrm6-tunnel-6.13.1 linux-stable 6.13.1 11
kernel-module-usb-f-ecm-subset-6.13.1 kernel-module-usb-f-ecm-subset-6.13.1 linux-stable 6.13.1 11
kernel-module-tm2-touchkey-6.13.1 kernel-module-tm2-touchkey-6.13.1 linux-stable 6.13.1 11
kernel-module-st1232-6.13.1 kernel-module-st1232-6.13.1 linux-stable 6.13.1 11
kernel-module-rtc-pcf85363-6.13.1 kernel-module-rtc-pcf85363-6.13.1 linux-stable 6.13.1 11
kernel-module-rtc-hym8563-6.13.1 kernel-module-rtc-hym8563-6.13.1 linux-stable 6.13.1 11
kernel-module-phy-twl6030-usb-6.13.1 kernel-module-phy-twl6030-usb-6.13.1 linux-stable 6.13.1 11
kernel-module-pci-meson-6.13.1 kernel-module-pci-meson-6.13.1 linux-stable 6.13.1 11
kernel-module-parade-ps8622-6.13.1 kernel-module-parade-ps8622-6.13.1 linux-stable 6.13.1 11
kernel-module-microchip-6.13.1 kernel-module-microchip-6.13.1 linux-stable 6.13.1 11
kernel-module-led-class-flash-6.13.1 kernel-module-led-class-flash-6.13.1 linux-stable 6.13.1 11
kernel-module-i2c-algo-bit-6.13.1 kernel-module-i2c-algo-bit-6.13.1 linux-stable 6.13.1 11
